extension,percentage,total
str145522,9.026924608028366e-07,2
str1463,9.026924608028366e-07,2
str146344,9.026924608028366e-07,2
str1473,9.026924608028366e-07,2
str147368,9.026924608028366e-07,2
str1474,9.026924608028366e-07,2
str1475,9.026924608028366e-07,2
str1479,9.026924608028366e-07,2
str1485,9.026924608028366e-07,2
str1500,9.026924608028366e-07,2
str1504,9.026924608028366e-07,2
str1520,9.026924608028366e-07,2
str1533,9.026924608028366e-07,2
str1536,9.026924608028366e-07,2
str154643,9.026924608028366e-07,2
str154871,9.026924608028366e-07,2
str154897,9.026924608028366e-07,2
str15593,9.026924608028366e-07,2
str156359,9.026924608028366e-07,2
str1567,9.026924608028366e-07,2
str1572,9.026924608028366e-07,2
str157247,9.026924608028366e-07,2
str15761,9.026924608028366e-07,2
str15771,9.026924608028366e-07,2
str15894,9.026924608028366e-07,2
str159337,9.026924608028366e-07,2
str160466,9.026924608028366e-07,2
str160470,9.026924608028366e-07,2
str160825,9.026924608028366e-07,2
str16141,9.026924608028366e-07,2
str161432,9.026924608028366e-07,2
str162207,9.026924608028366e-07,2
str162273,9.026924608028366e-07,2
str16428,9.026924608028366e-07,2
str1666,9.026924608028366e-07,2
str1674,9.026924608028366e-07,2
str1675,9.026924608028366e-07,2
str1679,9.026924608028366e-07,2
str1683,9.026924608028366e-07,2
str1690,9.026924608028366e-07,2
str18229,9.026924608028366e-07,2
str1828,9.026924608028366e-07,2
str1859,9.026924608028366e-07,2
str1870,9.026924608028366e-07,2
str1871,9.026924608028366e-07,2
str1877,9.026924608028366e-07,2
str1891,9.026924608028366e-07,2
str1900,9.026924608028366e-07,2
str1913,9.026924608028366e-07,2
str1930,9.026924608028366e-07,2
str1932,9.026924608028366e-07,2
str1934,9.026924608028366e-07,2
str1955,9.026924608028366e-07,2
str1988,9.026924608028366e-07,2
str2001,9.026924608028366e-07,2
str2015,9.026924608028366e-07,2
str2044,9.026924608028366e-07,2
str2047,9.026924608028366e-07,2
str2049,9.026924608028366e-07,2
str2052,9.026924608028366e-07,2
str2058,9.026924608028366e-07,2
str2079,9.026924608028366e-07,2
str2087,9.026924608028366e-07,2
str2101,9.026924608028366e-07,2
str2189,9.026924608028366e-07,2
str2199,9.026924608028366e-07,2
str2324,9.026924608028366e-07,2
str23522,9.026924608028366e-07,2
str2414,9.026924608028366e-07,2
str2418,9.026924608028366e-07,2
str2450,9.026924608028366e-07,2
str2471,9.026924608028366e-07,2
str2481,9.026924608028366e-07,2
str25092,9.026924608028366e-07,2
str2583,9.026924608028366e-07,2
str2598,9.026924608028366e-07,2
str2676,9.026924608028366e-07,2
str2682,9.026924608028366e-07,2
str2699,9.026924608028366e-07,2
str2775,9.026924608028366e-07,2
str2789,9.026924608028366e-07,2
str2794,9.026924608028366e-07,2
str2812,9.026924608028366e-07,2
str2816,9.026924608028366e-07,2
str2819,9.026924608028366e-07,2
str2825,9.026924608028366e-07,2
str2834,9.026924608028366e-07,2
str2867,9.026924608028366e-07,2
str2877,9.026924608028366e-07,2
str2885,9.026924608028366e-07,2
str2920,9.026924608028366e-07,2
str2921,9.026924608028366e-07,2
str2922,9.026924608028366e-07,2
str2932,9.026924608028366e-07,2
str2951,9.026924608028366e-07,2
str2972,9.026924608028366e-07,2
str3006,9.026924608028366e-07,2
str3087,9.026924608028366e-07,2
str3102,9.026924608028366e-07,2
str3163,9.026924608028366e-07,2
str31758,9.026924608028366e-07,2
str3178,9.026924608028366e-07,2
str3193,9.026924608028366e-07,2
str3264,9.026924608028366e-07,2
str3265,9.026924608028366e-07,2
str3268,9.026924608028366e-07,2
str32962,9.026924608028366e-07,2
str3314,9.026924608028366e-07,2
str3318,9.026924608028366e-07,2
str3327,9.026924608028366e-07,2
str33378,9.026924608028366e-07,2
str33429,9.026924608028366e-07,2
str33618,9.026924608028366e-07,2
str3398,9.026924608028366e-07,2
str34077,9.026924608028366e-07,2
str34476,9.026924608028366e-07,2
str3464,9.026924608028366e-07,2
str3475,9.026924608028366e-07,2
str3493,9.026924608028366e-07,2
str3562,9.026924608028366e-07,2
str3571,9.026924608028366e-07,2
str3591,9.026924608028366e-07,2
str3604,9.026924608028366e-07,2
str3721,9.026924608028366e-07,2
str3722,9.026924608028366e-07,2
str3773,9.026924608028366e-07,2
str3808,9.026924608028366e-07,2
str3846,9.026924608028366e-07,2
str3909,9.026924608028366e-07,2
str3937,9.026924608028366e-07,2
str3962,9.026924608028366e-07,2
str3965,9.026924608028366e-07,2
str4030,9.026924608028366e-07,2
str40368,9.026924608028366e-07,2
str4037,9.026924608028366e-07,2
str4095,9.026924608028366e-07,2
str4146,9.026924608028366e-07,2
str4255,9.026924608028366e-07,2
str4266,9.026924608028366e-07,2
str4295,9.026924608028366e-07,2
str4306,9.026924608028366e-07,2
str4314,9.026924608028366e-07,2
str4318,9.026924608028366e-07,2
str4373,9.026924608028366e-07,2
str4375,9.026924608028366e-07,2
str4378,9.026924608028366e-07,2
str4406,9.026924608028366e-07,2
str4409,9.026924608028366e-07,2
str4425,9.026924608028366e-07,2
str4455,9.026924608028366e-07,2
str4462,9.026924608028366e-07,2
str4464,9.026924608028366e-07,2
str4494,9.026924608028366e-07,2
str4524,9.026924608028366e-07,2
str4572,9.026924608028366e-07,2
str4575,9.026924608028366e-07,2
str4589,9.026924608028366e-07,2
str4624,9.026924608028366e-07,2
str4638,9.026924608028366e-07,2
str4669,9.026924608028366e-07,2
str4689,9.026924608028366e-07,2
str4757,9.026924608028366e-07,2
str4782,9.026924608028366e-07,2
str4786,9.026924608028366e-07,2
str4802,9.026924608028366e-07,2
str4803,9.026924608028366e-07,2
str4831,9.026924608028366e-07,2
str4848,9.026924608028366e-07,2
str4856,9.026924608028366e-07,2
str4886,9.026924608028366e-07,2
str4904,9.026924608028366e-07,2
str4907,9.026924608028366e-07,2
str4910,9.026924608028366e-07,2
str4930,9.026924608028366e-07,2
str4932,9.026924608028366e-07,2
str4969,9.026924608028366e-07,2
str4998,9.026924608028366e-07,2
str5009,9.026924608028366e-07,2
str5014,9.026924608028366e-07,2
str5075,9.026924608028366e-07,2
str5087,9.026924608028366e-07,2
str5155,9.026924608028366e-07,2
str5168,9.026924608028366e-07,2
str5226,9.026924608028366e-07,2
str52352,9.026924608028366e-07,2
str5256,9.026924608028366e-07,2
str5274,9.026924608028366e-07,2
str5276,9.026924608028366e-07,2
str5322,9.026924608028366e-07,2
str5385,9.026924608028366e-07,2
str5404,9.026924608028366e-07,2
str5407,9.026924608028366e-07,2
str5425,9.026924608028366e-07,2
str5442,9.026924608028366e-07,2
str5453,9.026924608028366e-07,2
str5498,9.026924608028366e-07,2
str5514,9.026924608028366e-07,2
str5541,9.026924608028366e-07,2
str5561,9.026924608028366e-07,2
str5562,9.026924608028366e-07,2
str5656,9.026924608028366e-07,2
str5668,9.026924608028366e-07,2
str5696,9.026924608028366e-07,2
str5726,9.026924608028366e-07,2
str5811,9.026924608028366e-07,2
str5817,9.026924608028366e-07,2
str5827,9.026924608028366e-07,2
str5853,9.026924608028366e-07,2
str5873,9.026924608028366e-07,2
str5892,9.026924608028366e-07,2
str5894,9.026924608028366e-07,2
str5908,9.026924608028366e-07,2
str59121,9.026924608028366e-07,2
str5950,9.026924608028366e-07,2
str5955,9.026924608028366e-07,2
str5956,9.026924608028366e-07,2
str5966,9.026924608028366e-07,2
str5967,9.026924608028366e-07,2
str6047,9.026924608028366e-07,2
str6104,9.026924608028366e-07,2
str6113,9.026924608028366e-07,2
str6123,9.026924608028366e-07,2
str6138,9.026924608028366e-07,2
str6179,9.026924608028366e-07,2
str6185,9.026924608028366e-07,2
str6204,9.026924608028366e-07,2
str62122,9.026924608028366e-07,2
str6215,9.026924608028366e-07,2
str62242,9.026924608028366e-07,2
str62273,9.026924608028366e-07,2
str62885,9.026924608028366e-07,2
str62936,9.026924608028366e-07,2
str6335,9.026924608028366e-07,2
str6349,9.026924608028366e-07,2
str6394,9.026924608028366e-07,2
str640,9.026924608028366e-07,2
str6403,9.026924608028366e-07,2
str6410,9.026924608028366e-07,2
str6435,9.026924608028366e-07,2
str645,9.026924608028366e-07,2
str646,9.026924608028366e-07,2
str6463,9.026924608028366e-07,2
str6569,9.026924608028366e-07,2
str6578,9.026924608028366e-07,2
str6586,9.026924608028366e-07,2
str660,9.026924608028366e-07,2
str664,9.026924608028366e-07,2
str6645,9.026924608028366e-07,2
str6653,9.026924608028366e-07,2
str6656,9.026924608028366e-07,2
str6658,9.026924608028366e-07,2
str6687,9.026924608028366e-07,2
str6757,9.026924608028366e-07,2
str6767,9.026924608028366e-07,2
str6788,9.026924608028366e-07,2
str6823,9.026924608028366e-07,2
str6836,9.026924608028366e-07,2
str6863,9.026924608028366e-07,2
str6866,9.026924608028366e-07,2
str6867,9.026924608028366e-07,2
str6873,9.026924608028366e-07,2
str6902,9.026924608028366e-07,2
str7004,9.026924608028366e-07,2
str701,9.026924608028366e-07,2
str7066,9.026924608028366e-07,2
str7072,9.026924608028366e-07,2
str709,9.026924608028366e-07,2
str7118,9.026924608028366e-07,2
str7203,9.026924608028366e-07,2
str7267,9.026924608028366e-07,2
str7269,9.026924608028366e-07,2
str7275,9.026924608028366e-07,2
str7295,9.026924608028366e-07,2
str7325,9.026924608028366e-07,2
str735,9.026924608028366e-07,2
str7368,9.026924608028366e-07,2
str7373,9.026924608028366e-07,2
str7410,9.026924608028366e-07,2
str7423,9.026924608028366e-07,2
str7476,9.026924608028366e-07,2
str74775,9.026924608028366e-07,2
str7478,9.026924608028366e-07,2
str748,9.026924608028366e-07,2
str7496,9.026924608028366e-07,2
str7562,9.026924608028366e-07,2
str7620,9.026924608028366e-07,2
str7629,9.026924608028366e-07,2
str7654,9.026924608028366e-07,2
str7663,9.026924608028366e-07,2
str7789,9.026924608028366e-07,2
str7808,9.026924608028366e-07,2
str7917,9.026924608028366e-07,2
str7928,9.026924608028366e-07,2
str7937,9.026924608028366e-07,2
str794,9.026924608028366e-07,2
str8009,9.026924608028366e-07,2
str803,9.026924608028366e-07,2
str8036,9.026924608028366e-07,2
str8057,9.026924608028366e-07,2
str8064,9.026924608028366e-07,2
str810,9.026924608028366e-07,2
str811,9.026924608028366e-07,2
str8143,9.026924608028366e-07,2
str817,9.026924608028366e-07,2
str8191,9.026924608028366e-07,2
str824,9.026924608028366e-07,2
str8253,9.026924608028366e-07,2
str8256,9.026924608028366e-07,2
str8268,9.026924608028366e-07,2
str8274,9.026924608028366e-07,2
str828,9.026924608028366e-07,2
str829,9.026924608028366e-07,2
str8293,9.026924608028366e-07,2
str8301,9.026924608028366e-07,2
str8328,9.026924608028366e-07,2
str833,9.026924608028366e-07,2
str8330,9.026924608028366e-07,2
str8338,9.026924608028366e-07,2
str8352,9.026924608028366e-07,2
str8363,9.026924608028366e-07,2
str837,9.026924608028366e-07,2
str841,9.026924608028366e-07,2
str8423,9.026924608028366e-07,2
str8425,9.026924608028366e-07,2
str8446,9.026924608028366e-07,2
str8506,9.026924608028366e-07,2
str8516,9.026924608028366e-07,2
str8517,9.026924608028366e-07,2
str8532,9.026924608028366e-07,2
str8545,9.026924608028366e-07,2
str8547,9.026924608028366e-07,2
str8555,9.026924608028366e-07,2
str8559,9.026924608028366e-07,2
str8596,9.026924608028366e-07,2
str8608,9.026924608028366e-07,2
str865,9.026924608028366e-07,2
str8655,9.026924608028366e-07,2
str8659,9.026924608028366e-07,2
str8662,9.026924608028366e-07,2
str8665,9.026924608028366e-07,2
str8666,9.026924608028366e-07,2
str8676,9.026924608028366e-07,2
str8695,9.026924608028366e-07,2
str871,9.026924608028366e-07,2
str8734,9.026924608028366e-07,2
str8738,9.026924608028366e-07,2
str876,9.026924608028366e-07,2
str8773,9.026924608028366e-07,2
str8778,9.026924608028366e-07,2
str8781,9.026924608028366e-07,2
str8782,9.026924608028366e-07,2
str8797,9.026924608028366e-07,2
str8799,9.026924608028366e-07,2
str8854,9.026924608028366e-07,2
str8857,9.026924608028366e-07,2
str8858,9.026924608028366e-07,2
str8861,9.026924608028366e-07,2
str8868,9.026924608028366e-07,2
str887,9.026924608028366e-07,2
str8870,9.026924608028366e-07,2
str8875,9.026924608028366e-07,2
str8878,9.026924608028366e-07,2
str8888,9.026924608028366e-07,2
str8916,9.026924608028366e-07,2
str8919,9.026924608028366e-07,2
str899,9.026924608028366e-07,2
str8999,9.026924608028366e-07,2
str9015,9.026924608028366e-07,2
str9016,9.026924608028366e-07,2
str9033,9.026924608028366e-07,2
str9038,9.026924608028366e-07,2
str9054,9.026924608028366e-07,2
str9085,9.026924608028366e-07,2
str9089,9.026924608028366e-07,2
str9094,9.026924608028366e-07,2
str9112,9.026924608028366e-07,2
str913,9.026924608028366e-07,2
str9139,9.026924608028366e-07,2
str9157,9.026924608028366e-07,2
str9181,9.026924608028366e-07,2
str9186,9.026924608028366e-07,2
str9230,9.026924608028366e-07,2
str9241,9.026924608028366e-07,2
str9280,9.026924608028366e-07,2
str9335,9.026924608028366e-07,2
str939,9.026924608028366e-07,2
str944,9.026924608028366e-07,2
str9479,9.026924608028366e-07,2
str9481,9.026924608028366e-07,2
str9596,9.026924608028366e-07,2
str9681,9.026924608028366e-07,2
str9734,9.026924608028366e-07,2
str9740,9.026924608028366e-07,2
str9788,9.026924608028366e-07,2
str9888,9.026924608028366e-07,2
str991,9.026924608028366e-07,2
str9921,9.026924608028366e-07,2
str99644,9.026924608028366e-07,2
str9971,9.026924608028366e-07,2
str9972,9.026924608028366e-07,2
str999,9.026924608028366e-07,2
str9993,9.026924608028366e-07,2
out_cb,4.062116073612765e-06,9
out_vb,4.062116073612765e-06,9
qmc,3.0691543667296446e-05,68
pir,4.513462304014183e-07,1
trc,9.026924608028367e-06,20
rsr,4.513462304014183e-06,10
prf,4.513462304014183e-07,1
bin,4.513462304014183e-07,1
cmd,4.513462304014183e-07,1
output,1.0380963299232622e-05,23
ref,9.026924608028366e-07,2
param,6.318847225619856e-06,14
align,1.354038691204255e-06,3
pyc,7.853424408984678e-05,174
A,4.513462304014183e-07,1
sample,1.308904068164113e-05,29
npz,1.8053849216056732e-06,4
res,1.8053849216056733e-05,40
gro,1.8053849216056733e-05,40
itp,2.0310580368063826e-05,45
mdp,1.2637694451239712e-05,28
cpt,1.2637694451239712e-05,28
top,6.318847225619856e-06,14
tpr,6.318847225619856e-06,14
trr,6.318847225619856e-06,14
ndx,6.318847225619856e-06,14
tgz,9.026924608028366e-07,2
castep,5.41615476481702e-06,12
cell,5.41615476481702e-06,12
xye,1.8053849216056732e-06,4
XY,4.513462304014183e-07,1
rpa,4.513462304014183e-07,1
gss,9.478270838429784e-06,21
mp4,9.026924608028366e-07,2
dll,8.12423214722553e-06,18
conf,4.784270042255034e-05,106
mod,0.0028922266444122886,6408
avi,3.249692858890212e-05,72
Ti,5.6869625030578706e-05,126
crowd,4.513462304014183e-07,1
hc,4.513462304014183e-07,1
hex,4.513462304014183e-07,1
oc,4.513462304014183e-07,1
oct,4.513462304014183e-07,1
oh,4.513462304014183e-07,1
isprp,4.513462304014183e-06,10
issd,4.513462304014183e-06,10
hdf5,0.00016790079770932762,372
isvis,3.159423612809928e-06,7
bmp,5.41615476481702e-06,12
JPG,5.867500995218438e-06,13
MOV,4.513462304014183e-07,1
ipj,5.41615476481702e-06,12
htm,1.2637694451239712e-05,28
rst,1.8053849216056732e-06,4
csh,2.2567311520070916e-06,5
alloy,9.749078576670636e-05,216
meam,7.943693655064962e-05,176
Ti3O2,9.026924608028366e-07,2
aTiO,4.513462304014183e-07,1
TiO2,4.513462304014183e-07,1
Ti2O3,4.513462304014183e-07,1
_job,9.026924608028366e-07,2
alpha_TiO,4.513462304014183e-07,1
bct_int,4.513462304014183e-07,1
oct_int,4.513462304014183e-07,1
hcp_elast_rx,4.513462304014183e-07,1
hcp_int,4.513462304014183e-07,1
x,4.513462304014183e-07,1
lobster,5.41615476481702e-06,12
total,1.8053849216056732e-06,4
pxp,1.4894425603246805e-05,33
out0,9.026924608028366e-07,2
out1,4.513462304014183e-07,1
out1_bak,4.513462304014183e-07,1
out_tmp,4.513462304014183e-07,1
e107148,9.026924608028366e-07,2
o107148,9.026924608028366e-07,2
e107149,9.026924608028366e-07,2
o107149,9.026924608028366e-07,2
e107150,9.026924608028366e-07,2
o107150,9.026924608028366e-07,2
e107151,9.026924608028366e-07,2
o107151,9.026924608028366e-07,2
e107152,9.026924608028366e-07,2
o107152,9.026924608028366e-07,2
e107153,9.026924608028366e-07,2
o107153,9.026924608028366e-07,2
e107262,9.026924608028366e-07,2
o107262,9.026924608028366e-07,2
e107263,9.026924608028366e-07,2
o107263,9.026924608028366e-07,2
e107264,9.026924608028366e-07,2
e107684,9.026924608028366e-07,2
e107981,9.026924608028366e-07,2
e108180,9.026924608028366e-07,2
o107264,9.026924608028366e-07,2
o107684,9.026924608028366e-07,2
o107981,9.026924608028366e-07,2
o108180,9.026924608028366e-07,2
e107265,9.026924608028366e-07,2
o107265,9.026924608028366e-07,2
e107266,9.026924608028366e-07,2
o107266,9.026924608028366e-07,2
e107658,9.026924608028366e-07,2
o107658,9.026924608028366e-07,2
e107659,9.026924608028366e-07,2
o107659,9.026924608028366e-07,2
e108244,9.026924608028366e-07,2
o108244,9.026924608028366e-07,2
e107660,9.026924608028366e-07,2
o107660,9.026924608028366e-07,2
e107267,9.026924608028366e-07,2
o107267,9.026924608028366e-07,2
e107268,9.026924608028366e-07,2
o107268,9.026924608028366e-07,2
e107269,9.026924608028366e-07,2
o107269,9.026924608028366e-07,2
e107270,9.026924608028366e-07,2
o107270,9.026924608028366e-07,2
e107661,9.026924608028366e-07,2
o107661,9.026924608028366e-07,2
e107271,9.026924608028366e-07,2
o107271,9.026924608028366e-07,2
e107272,9.026924608028366e-07,2
o107272,9.026924608028366e-07,2
e107273,9.026924608028366e-07,2
o107273,9.026924608028366e-07,2
e107274,9.026924608028366e-07,2
e108185,9.026924608028366e-07,2
o107274,9.026924608028366e-07,2
o108185,9.026924608028366e-07,2
e107275,9.026924608028366e-07,2
o107275,9.026924608028366e-07,2
e107154,9.026924608028366e-07,2
o107154,9.026924608028366e-07,2
e107155,9.026924608028366e-07,2
o107155,9.026924608028366e-07,2
e107156,9.026924608028366e-07,2
o107156,9.026924608028366e-07,2
e107157,9.026924608028366e-07,2
o107157,9.026924608028366e-07,2
e107158,9.026924608028366e-07,2
o107158,9.026924608028366e-07,2
e107159,9.026924608028366e-07,2
o107159,9.026924608028366e-07,2
e107276,9.026924608028366e-07,2
o107276,9.026924608028366e-07,2
e107277,9.026924608028366e-07,2
o107277,9.026924608028366e-07,2
e107278,9.026924608028366e-07,2
e107685,9.026924608028366e-07,2
e107982,9.026924608028366e-07,2
e108181,9.026924608028366e-07,2
o107278,9.026924608028366e-07,2
o107685,9.026924608028366e-07,2
o107982,9.026924608028366e-07,2
o108181,9.026924608028366e-07,2
e107279,9.026924608028366e-07,2
o107279,9.026924608028366e-07,2
e107280,9.026924608028366e-07,2
o107280,9.026924608028366e-07,2
e107662,9.026924608028366e-07,2
o107662,9.026924608028366e-07,2
e107663,9.026924608028366e-07,2
o107663,9.026924608028366e-07,2
e108245,9.026924608028366e-07,2
o108245,9.026924608028366e-07,2
e107664,9.026924608028366e-07,2
o107664,9.026924608028366e-07,2
e107281,9.026924608028366e-07,2
o107281,9.026924608028366e-07,2
e107282,9.026924608028366e-07,2
o107282,9.026924608028366e-07,2
e107283,9.026924608028366e-07,2
o107283,9.026924608028366e-07,2
e107284,9.026924608028366e-07,2
o107284,9.026924608028366e-07,2
e107665,9.026924608028366e-07,2
o107665,9.026924608028366e-07,2
e107285,9.026924608028366e-07,2
o107285,9.026924608028366e-07,2
e107286,9.026924608028366e-07,2
o107286,9.026924608028366e-07,2
e107287,9.026924608028366e-07,2
o107287,9.026924608028366e-07,2
e107288,9.026924608028366e-07,2
o107288,9.026924608028366e-07,2
e107289,9.026924608028366e-07,2
o107289,9.026924608028366e-07,2
e107160,9.026924608028366e-07,2
o107160,9.026924608028366e-07,2
e107161,9.026924608028366e-07,2
o107161,9.026924608028366e-07,2
e107162,9.026924608028366e-07,2
o107162,9.026924608028366e-07,2
e107163,9.026924608028366e-07,2
o107163,9.026924608028366e-07,2
e107164,9.026924608028366e-07,2
o107164,9.026924608028366e-07,2
e107165,9.026924608028366e-07,2
o107165,9.026924608028366e-07,2
e107290,9.026924608028366e-07,2
o107290,9.026924608028366e-07,2
e107291,9.026924608028366e-07,2
o107291,9.026924608028366e-07,2
e107292,9.026924608028366e-07,2
o107292,9.026924608028366e-07,2
e107293,9.026924608028366e-07,2
e107686,9.026924608028366e-07,2
e107983,9.026924608028366e-07,2
e108060,9.026924608028366e-07,2
o107293,9.026924608028366e-07,2
o107686,9.026924608028366e-07,2
o107983,9.026924608028366e-07,2
o108060,9.026924608028366e-07,2
e107294,9.026924608028366e-07,2
o107294,9.026924608028366e-07,2
e107666,9.026924608028366e-07,2
o107666,9.026924608028366e-07,2
e107667,9.026924608028366e-07,2
o107667,9.026924608028366e-07,2
e107668,9.026924608028366e-07,2
o107668,9.026924608028366e-07,2
e108176,9.026924608028366e-07,2
o108176,9.026924608028366e-07,2
e107295,9.026924608028366e-07,2
o107295,9.026924608028366e-07,2
e107296,9.026924608028366e-07,2
o107296,9.026924608028366e-07,2
e107297,9.026924608028366e-07,2
o107297,9.026924608028366e-07,2
e107298,9.026924608028366e-07,2
o107298,9.026924608028366e-07,2
e107669,9.026924608028366e-07,2
o107669,9.026924608028366e-07,2
e107299,9.026924608028366e-07,2
o107299,9.026924608028366e-07,2
e107300,9.026924608028366e-07,2
o107300,9.026924608028366e-07,2
e107301,9.026924608028366e-07,2
o107301,9.026924608028366e-07,2
e107302,9.026924608028366e-07,2
o107302,9.026924608028366e-07,2
e107303,9.026924608028366e-07,2
o107303,9.026924608028366e-07,2
e106990,9.026924608028366e-07,2
o106990,9.026924608028366e-07,2
e106991,9.026924608028366e-07,2
o106991,9.026924608028366e-07,2
e106992,9.026924608028366e-07,2
o106992,9.026924608028366e-07,2
e106993,9.026924608028366e-07,2
o106993,9.026924608028366e-07,2
e106994,9.026924608028366e-07,2
o106994,9.026924608028366e-07,2
e106995,9.026924608028366e-07,2
o106995,9.026924608028366e-07,2
e107009,9.026924608028366e-07,2
o107009,9.026924608028366e-07,2
e107010,9.026924608028366e-07,2
o107010,9.026924608028366e-07,2
e107011,9.026924608028366e-07,2
o107011,9.026924608028366e-07,2
e107012,9.026924608028366e-07,2
e107045,9.026924608028366e-07,2
o107012,9.026924608028366e-07,2
o107045,9.026924608028366e-07,2
e107013,9.026924608028366e-07,2
o107013,9.026924608028366e-07,2
e107039,9.026924608028366e-07,2
o107039,9.026924608028366e-07,2
e107040,9.026924608028366e-07,2
o107040,9.026924608028366e-07,2
e107041,9.026924608028366e-07,2
o107041,9.026924608028366e-07,2
e107051,9.026924608028366e-07,2
o107051,9.026924608028366e-07,2
e107014,9.026924608028366e-07,2
o107014,9.026924608028366e-07,2
e107015,9.026924608028366e-07,2
o107015,9.026924608028366e-07,2
e107016,9.026924608028366e-07,2
o107016,9.026924608028366e-07,2
e107017,9.026924608028366e-07,2
o107017,9.026924608028366e-07,2
e107042,9.026924608028366e-07,2
o107042,9.026924608028366e-07,2
e107018,9.026924608028366e-07,2
e107053,9.026924608028366e-07,2
o107018,9.026924608028366e-07,2
o107053,9.026924608028366e-07,2
e107019,9.026924608028366e-07,2
o107019,9.026924608028366e-07,2
e107020,9.026924608028366e-07,2
o107020,9.026924608028366e-07,2
e107021,9.026924608028366e-07,2
o107021,9.026924608028366e-07,2
e107022,9.026924608028366e-07,2
o107022,9.026924608028366e-07,2
e107166,9.026924608028366e-07,2
o107166,9.026924608028366e-07,2
e107167,9.026924608028366e-07,2
o107167,9.026924608028366e-07,2
e107168,9.026924608028366e-07,2
o107168,9.026924608028366e-07,2
e107169,9.026924608028366e-07,2
o107169,9.026924608028366e-07,2
e107170,9.026924608028366e-07,2
o107170,9.026924608028366e-07,2
e107171,9.026924608028366e-07,2
o107171,9.026924608028366e-07,2
e107304,9.026924608028366e-07,2
o107304,9.026924608028366e-07,2
e107305,9.026924608028366e-07,2
o107305,9.026924608028366e-07,2
e107306,9.026924608028366e-07,2
o107306,9.026924608028366e-07,2
e107307,9.026924608028366e-07,2
e107687,9.026924608028366e-07,2
e107839,9.026924608028366e-07,2
o107307,9.026924608028366e-07,2
o107687,9.026924608028366e-07,2
o107839,9.026924608028366e-07,2
e107308,9.026924608028366e-07,2
o107308,9.026924608028366e-07,2
e107670,9.026924608028366e-07,2
o107670,9.026924608028366e-07,2
e107671,9.026924608028366e-07,2
o107671,9.026924608028366e-07,2
e107672,9.026924608028366e-07,2
o107672,9.026924608028366e-07,2
e107976,9.026924608028366e-07,2
o107976,9.026924608028366e-07,2
e107309,9.026924608028366e-07,2
o107309,9.026924608028366e-07,2
e107310,9.026924608028366e-07,2
o107310,9.026924608028366e-07,2
e107311,9.026924608028366e-07,2
o107311,9.026924608028366e-07,2
e107312,9.026924608028366e-07,2
o107312,9.026924608028366e-07,2
e107673,9.026924608028366e-07,2
o107673,9.026924608028366e-07,2
e107313,9.026924608028366e-07,2
o107313,9.026924608028366e-07,2
e107314,9.026924608028366e-07,2
o107314,9.026924608028366e-07,2
e107315,9.026924608028366e-07,2
o107315,9.026924608028366e-07,2
e107316,9.026924608028366e-07,2
o107316,9.026924608028366e-07,2
e107317,9.026924608028366e-07,2
o107317,9.026924608028366e-07,2
e107172,9.026924608028366e-07,2
o107172,9.026924608028366e-07,2
e107173,9.026924608028366e-07,2
o107173,9.026924608028366e-07,2
e107174,9.026924608028366e-07,2
o107174,9.026924608028366e-07,2
e107175,9.026924608028366e-07,2
o107175,9.026924608028366e-07,2
e107176,9.026924608028366e-07,2
o107176,9.026924608028366e-07,2
e107177,9.026924608028366e-07,2
o107177,9.026924608028366e-07,2
e107318,9.026924608028366e-07,2
o107318,9.026924608028366e-07,2
e107319,9.026924608028366e-07,2
o107319,9.026924608028366e-07,2
e107320,9.026924608028366e-07,2
o107320,9.026924608028366e-07,2
e107321,9.026924608028366e-07,2
e107688,9.026924608028366e-07,2
e107977,9.026924608028366e-07,2
e108061,9.026924608028366e-07,2
o107321,9.026924608028366e-07,2
o107688,9.026924608028366e-07,2
o107977,9.026924608028366e-07,2
o108061,9.026924608028366e-07,2
e107322,9.026924608028366e-07,2
o107322,9.026924608028366e-07,2
e107674,9.026924608028366e-07,2
o107674,9.026924608028366e-07,2
e107675,9.026924608028366e-07,2
o107675,9.026924608028366e-07,2
e107676,9.026924608028366e-07,2
o107676,9.026924608028366e-07,2
e108177,9.026924608028366e-07,2
o108177,9.026924608028366e-07,2
e107323,9.026924608028366e-07,2
o107323,9.026924608028366e-07,2
e107324,9.026924608028366e-07,2
o107324,9.026924608028366e-07,2
e107325,9.026924608028366e-07,2
o107325,9.026924608028366e-07,2
e107326,9.026924608028366e-07,2
o107326,9.026924608028366e-07,2
e107677,9.026924608028366e-07,2
o107677,9.026924608028366e-07,2
e107327,9.026924608028366e-07,2
o107327,9.026924608028366e-07,2
e107328,9.026924608028366e-07,2
o107328,9.026924608028366e-07,2
e107329,9.026924608028366e-07,2
o107329,9.026924608028366e-07,2
e107330,9.026924608028366e-07,2
o107330,9.026924608028366e-07,2
e107331,9.026924608028366e-07,2
o107331,9.026924608028366e-07,2
e107178,9.026924608028366e-07,2
o107178,9.026924608028366e-07,2
e107179,9.026924608028366e-07,2
o107179,9.026924608028366e-07,2
e107180,9.026924608028366e-07,2
o107180,9.026924608028366e-07,2
e107181,9.026924608028366e-07,2
o107181,9.026924608028366e-07,2
e107182,9.026924608028366e-07,2
o107182,9.026924608028366e-07,2
e107183,9.026924608028366e-07,2
o107183,9.026924608028366e-07,2
e107332,9.026924608028366e-07,2
