extension,percentage,total
jnlp,4.513462304014183e-06,10
bat,9.026924608028366e-07,2
php,6.318847225619856e-06,14
mrc,8.259636016345956e-05,183
yaml,3.339962104970495e-05,74
tar,0.00014984694849327088,332
dx,7.221539686422693e-06,16
dssp,4.513462304014183e-07,1
db,2.437269644167659e-05,54
pkl,4.513462304014183e-06,10
bs,9.026924608028366e-07,2
recpot,9.026924608028366e-07,2
75A,1.354038691204255e-06,3
96A,1.354038691204255e-06,3
0A,1.354038691204255e-06,3
15A,1.354038691204255e-06,3
1A,1.354038691204255e-06,3
35A,1.354038691204255e-06,3
map,1.354038691204255e-06,3
klh,0.0001110311726787489,246
tiff,0.09010585874487835,199638
TRA,9.252597723229075e-05,205
ZSE,2.2567311520070916e-06,5
mat,0.00019362753284220846,429
wrap,1.1735001990436877e-05,26
text,4.513462304014183e-07,1
EXP,1.7151156755253897e-05,38
exp,2.70807738240851e-06,6
ali,3.159423612809928e-06,7
cube,4.513462304014183e-07,1
agr,4.513462304014183e-07,1
out_last,4.513462304014183e-07,1
out_last2,1.354038691204255e-06,3
out_last3,1.354038691204255e-06,3
180,4.513462304014183e-07,1
bib,0.00025230254279439286,559
dag,3.339962104970495e-05,74
sub,4.9648085344156014e-05,110
err,0.0004806837353775105,1065
metrics,3.339962104970495e-05,74
rescue001,3.339962104970495e-05,74
rescue002,2.2567311520070915e-05,50
rescue003,9.026924608028367e-06,20
rescue004,3.6107698432113464e-06,8
rescue005,9.026924608028366e-07,2
rescue006,9.026924608028366e-07,2
asc,0.0001480415635716652,328
mda,0.00012727963697319996,282
I_mtrx,7.266674309462835e-05,161
Z_mtrx,7.266674309462835e-05,161
I(V)_mtrx,1.354038691204255e-05,30
mtrx,1.354038691204255e-06,3
vms,2.6629427593683682e-05,59
12,5.41615476481702e-06,12
12_gc,5.41615476481702e-06,12
13,5.41615476481702e-06,12
14,0.0004224600716557275,936
15,0.0004265221877293403,945
16,5.41615476481702e-06,12
18,5.41615476481702e-06,12
18_gc,5.41615476481702e-06,12
20,0.0004224600716557275,936
21,3.6107698432113464e-06,8
22,5.41615476481702e-06,12
24,3.6107698432113464e-06,8
str10,2.70807738240851e-06,6
str100,2.70807738240851e-06,6
str1002,1.8053849216056732e-06,4
str10032,1.8053849216056732e-06,4
str1004,1.8053849216056732e-06,4
str10066,1.8053849216056732e-06,4
str1007,1.8053849216056732e-06,4
str10093,1.8053849216056732e-06,4
str10099,1.8053849216056732e-06,4
str101,2.70807738240851e-06,6
str10108,9.026924608028366e-07,2
str10125,1.8053849216056732e-06,4
str10128,9.026924608028366e-07,2
str10142,9.026924608028366e-07,2
str10148,1.8053849216056732e-06,4
str1015,9.026924608028366e-07,2
str10189,1.8053849216056732e-06,4
str102,2.70807738240851e-06,6
str10224,9.026924608028366e-07,2
str10248,9.026924608028366e-07,2
str10273,1.8053849216056732e-06,4
str10274,1.8053849216056732e-06,4
str1029,9.026924608028366e-07,2
str103,2.70807738240851e-06,6
str1030,9.026924608028366e-07,2
str10351,1.8053849216056732e-06,4
str10352,1.8053849216056732e-06,4
str10358,9.026924608028366e-07,2
