extension,size_percentage,total
MOB,1.1973331798095695e-09,7988
DOP,3.1561151019116542e-09,21056
TCM,1.3670103404936497e-10,912
TIF,1.1289260337819661e-05,75316222
qe,2.0840912033140027e-09,13904
upf,9.696689993531895e-08,646914
gamess,1.7687195194983623e-11,118
ncpp,1.618858013092052e-08,108002
properties,1.0852143492515376e-10,724
jar,3.9177371187604865e-06,26137156
jnlp,8.432894929404905e-10,5626
bat,1.7687195194983623e-11,118
php,1.300218694909881e-08,86744
mrc,0.00021644433996143679,1444006912
yaml,6.247814338272086e-06,41682250
tar,0.0010081331618246984,6725753393
dx,4.543443832722768e-06,30311554
dssp,3.705167610379663e-09,24719
db,0.0011268307870547945,7517643776
pkl,2.2827079129497396e-07,1522907
bs,7.224769562696702e-11,482
recpot,3.277737052599872e-08,218674
75A,8.603283804836652e-05,573967482
96A,0.00016949352248061937,1130774859
0A,0.0001652577743887806,1102516095
15A,0.0001644073599540062,1096842561
1A,0.00016440836272803888,1096849251
35A,6.1031884514915696e-05,407173794
map,1.5842031018286605e-09,10569
klh,1.8801788275237e-08,125436
tiff,0.1899816465398056,1267461236480
TRA,7.008395973314742e-05,467564651
ZSE,2.350317546343831e-05,156801272
mat,0.0003855599777650876,2572260716
wrap,1.0499898503462737e-09,7005
text,3.335085534647336e-10,2225
EXP,1.224463538540858e-08,81690
exp,1.3933912418014218e-09,9296
ali,4.7194832873665625e-09,31486
cube,5.447934618433535e-06,36345858
agr,3.1481408749254415e-08,210028
out_last,4.3483519712413133e-10,2901
out_last2,3.491677168716822e-08,232947
out_last3,1.9917430595883298e-08,132879
180,5.68988075933541e-10,3796
bib,4.1688404302458525e-07,2781239
dag,1.645280884015541e-07,1097648
sub,2.9620955641117663e-08,197616
err,7.569531968832954e-07,5050008
metrics,6.431543825647097e-09,42908
rescue001,1.75615861308023e-08,117162
rescue002,1.2860389604569535e-08,85798
rescue003,5.231212816143462e-09,34900
rescue004,2.081992722528157e-09,13890
rescue005,5.348128174211998e-10,3568
rescue006,5.297165069412892e-10,3534
asc,2.8778910247500206e-06,19199830
mda,1.353706571877328e-06,9031244
I_mtrx,3.047282192481287e-05,203299220
Z_mtrx,3.047282372351069e-05,203299232
I(V)_mtrx,1.845463959666427e-08,123120
mtrx,9.535047016427909e-07,6361300
vms,5.018336929567905e-07,3347980
12,3.1685321125044714e-07,2113884
12_gc,3.199259866868638e-07,2134384
13,4.007549698130919e-07,2673634
14,5.510390203147808e-07,3676253
15,6.809619614258648e-07,4543033
16,5.485218926121591e-07,3659460
18,7.473463518456947e-07,4985916
18_gc,8.36342921973403e-07,5579656
20,1.0243192847845102e-06,6833739
21,9.144561711797776e-07,6100788
22,1.489589797986152e-06,9937788
24,1.2112506041642663e-06,8080850
str10,2.979977618236864e-07,1988090
str100,2.7942027116615934e-06,18641504
str1002,2.3362008862276666e-06,15585948
str10032,7.397315646398001e-07,4935114
str1004,5.105815998304477e-06,34063416
str10066,9.625965195389513e-07,6421956
str1007,7.942864591302557e-06,52990766
str10093,7.978663774160173e-07,5322960
str10099,1.3724505020394694e-06,9156294
str101,2.2971940255974005e-06,15325714
str10108,5.9397498643357296e-08,396270
str10125,1.9034443842133997e-06,12698816
str10128,9.096974163234189e-08,606904
str10142,1.1672229783623804e-07,778712
str10148,4.702704434568881e-07,3137406
str1015,5.210266980071029e-07,3476026
str10189,4.592830678668734e-06,30641038
str102,3.3168074672196524e-06,22128058
str10224,8.807863467538557e-08,587616
str10248,5.666227883049237e-08,378022
str10273,1.4482197482080546e-06,9661788
str10274,1.7489407385258297e-06,11668046
str1029,5.083015105217358e-07,3391130
str103,2.195746059770284e-05,146489046
str1030,1.004216888096503e-06,6699626
str10351,8.943653161360926e-07,5966752
str10352,7.309707071418645e-07,4876666
str10358,1.0395753899890917e-07,693552
str10360,1.1408031052685853e-07,761086
str10366,1.0397072944956306e-07,693640
str10367,1.0499358894117805e-07,700464
str10370,1.0397072944956306e-07,693640
str10372,7.591014416420625e-07,5064340
str10375,1.0104184983846154e-07,674100
