extension,size_percentage,total
str10526,1.8422712710422477e-07,1229070
str10553,3.7082403858160794e-07,2473950
str10571,1.842969765360965e-07,1229536
str10578,9.212984176735116e-07,6146436
str10593,2.946102142693929e-07,1965490
str10606,3.2647474565354886e-07,2178074
str10613,3.1428592985704377e-06,20967564
str10614,1.947812863251501e-07,1299482
str1062,1.162564051234834e-06,7756038
str10627,1.632318268418404e-07,1089000
str10646,4.384442243362223e-06,29250776
str10651,9.802930080059866e-07,6540018
str10655,1.9756087401748718e-07,1318026
str10662,3.0543657642653936e-07,2037718
str1068,4.1474943839092625e-07,2766998
str10694,2.8641031066381075e-06,19107844
str10734,2.9183911043509006e-06,19470026
str10777,7.57613618764898e-07,5054414
str1080,1.5789670924850065e-06,10534068
str10814,9.064537645944404e-07,6047400
str10820,3.825827257736086e-07,2552398
str10859,1.7106875322806517e-07,1141284
str10860,3.2915930214458405e-07,2195984
str1096,6.715348362784232e-07,4480140
str1102,2.3739513564331496e-07,1583780
str116208,7.834384226644211e-07,5226704
str11912,1.8441988755355315e-07,1230356
str122925,8.467145133659597e-07,5648850
str123000,8.670880637497951e-07,5784772
str123193,6.351136037592885e-07,4237156
str123287,2.1703537527607236e-07,1447950
str1235,6.575529585853039e-07,4386860
str123908,5.917859711909667e-07,3948096
str1241,2.7658522362448205e-06,18452364
str1253,2.0394286371829137e-06,13606034
str1293,6.742124977611621e-07,4498004
str1301,2.1250958176523934e-06,14177562
str132761,8.220996335309613e-07,5484632
str133187,2.845953646104299e-07,1898676
str133328,4.523817941064633e-07,3018062
str1352,8.483567244723686e-07,5659806
str1369,7.382803152849033e-07,4925432
str138346,1.1270400691431328e-06,7519040
str1386,7.383198866368649e-07,4925696
str1420,1.240717501337406e-05,82774382
str142426,6.025301928144958e-07,4019776
str1427,7.081191507329151e-07,4724212
str1438,2.658497556636597e-06,17736148
str1439,2.63730649809519e-06,17594772
str1445,2.2886451146588353e-06,15268680
str1447,7.924696844007614e-07,5286956
str1451,7.553061892493761e-07,5039020
str145522,2.4433900856367775e-07,1630106
str1463,1.3712210920819335e-06,9148092
str146344,6.769902867556827e-07,4516536
str1473,6.902095165746318e-07,4604728
str147368,2.5222998581928653e-06,16827506
str1474,2.037296580704495e-06,13591810
str1475,6.78090790036374e-07,4523878
str1479,7.929922061164369e-07,5290442
str1485,2.183413198256979e-06,14566626
str1500,0.0001149232621643925,766709746
str1504,0.00015571889989329077,1038877560
str1520,1.3036925799593635e-06,8697576
str1533,7.070735077356253e-07,4717236
str1536,4.579663910869431e-06,30553196
str154643,7.167022369299926e-07,4781474
str154871,3.318549506054873e-07,2213968
str154897,3.6509788408297435e-07,2435748
str15593,8.563033714253962e-07,5712822
str156359,1.1291970076080127e-06,7533430
str1567,1.3727409917368244e-06,9158232
str1572,1.3688489094450197e-06,9132266
str157247,1.1951147858359613e-06,7973200
str15761,4.806564244319763e-07,3206696
str15771,1.3125967337166755e-07,875698
str15894,1.6462851569630529e-07,1098318
str159337,3.858026946480038e-07,2573880
str160466,1.9377521467982188e-07,1292770
str160470,1.5329432118898427e-07,1022702
str160825,1.1599952109699896e-07,773890
str16141,7.961006557262129e-07,5311180
str161432,2.758905665277733e-07,1840602
str162207,2.6983465076279256e-07,1800200
str162273,1.321620201095811e-07,881718
str16428,7.509404498659092e-07,5009894
str1666,1.052660257081153e-05,70228156
str1674,7.182908468414716e-06,47920724
str1675,8.488408739679601e-07,5663036
str1679,1.1057066136912579e-06,7376714
str1683,6.0344959720336854e-06,40259098
str1690,0.0001261691160267229,841736382
str18229,2.1833463466548014e-07,1456618
str1828,7.750271121088134e-07,5170588
str1859,7.55370942370768e-07,5039452
str1870,1.610136726946078e-06,10742016
str1871,8.073233309689148e-07,5386052
str1877,1.564490273109397e-06,10437486
str1891,7.739188144709177e-07,5163194
str1900,7.443491217175685e-07,4965920
str1913,8.483195513841621e-07,5659558
str1930,8.488531650697057e-07,5663118
str1932,7.552980951092022e-07,5038966
str1934,3.833405771202682e-07,2557454
str1955,3.783767407345384e-06,25243378
str1988,0.0,0
str2001,2.3339486167785156e-06,15570922
str2015,8.850150853203039e-07,5904372
str2044,5.393272191791954e-06,35981178
str2047,1.4912422017135205e-05,99488120
str2049,1.7243834170209573e-06,11504212
str2052,9.205180826041465e-06,61412300
str2058,8.072897552763412e-07,5385828
str2079,3.576185987792515e-06,23858500
str2087,6.404966266711393e-06,42730688
str2101,1.6286216446226523e-06,10865338
str2189,1.5928152669737704e-06,10626456
str2199,8.204673152625429e-07,5473742
str2324,7.553241762275405e-07,5039140
str23522,5.061871412385117e-07,3377024
str2414,5.843378633160622e-07,3898406
str2418,9.321787407651512e-07,6219024
str2450,8.91879515753774e-07,5950168
str2471,4.453676820363685e-06,29712674
str2481,9.724890577463966e-07,6487954
str25092,2.602871627531343e-07,1736504
str2583,2.8171403057827627e-06,18794532
str2598,1.9697359918041982e-06,13141080
str2676,1.8524405089304551e-06,12358544
str2682,3.577775736879278e-06,23869106
str2699,1.0063345549923906e-06,6713754
str2775,7.256393368356423e-06,48410978
str2789,1.978441689235763e-06,13199160
str2794,9.90605242370601e-07,6608816
str2812,8.918273535170972e-07,5949820
str2816,2.517961998625553e-06,16798566
str2819,8.723426596375522e-07,5819828
str2825,2.69763722112231e-06,17997268
str2834,9.725175371284902e-07,6488144
str2867,9.724797644743449e-07,6487892
str2877,1.813968161334641e-06,12101876
str2885,9.117635205485684e-07,6082824
str2920,5.843984194758822e-07,3898810
str2921,9.321829377267229e-07,6219052
str2922,9.327129540166336e-07,6222588
str2932,9.321769420673347e-07,6219012
str2951,9.511789853661353e-07,6345784
str2972,1.8908037355254053e-06,12614484
str3006,9.905851569116506e-07,6608682
str3087,1.0133545727869826e-06,6760588
str3102,5.929044614498224e-06,39555580
str3163,1.8940809629469572e-06,12636348
str31758,5.572857479397888e-07,3717928
str3178,2.6068647366838375e-07,1739168
str3193,2.874020227049044e-06,19174006
str3264,1.0173828764600855e-05,67874628
str3265,9.725340251918075e-07,6488254
str3268,5.485718364548622e-06,36597932
str32962,2.278450695001198e-06,15200668
str3314,1.0299982234654623e-06,6871626
str3318,1.0128071690848464e-06,6756936
str3327,1.237665081164612e-06,8257074
str33378,1.5133434013500454e-07,1009626
str33429,5.538817123221779e-07,3695218
str33618,5.708683147176586e-07,3808544
str3398,4.443953059968016e-06,29647802
str34077,5.858793473447504e-07,3908690
str34476,5.067945015345293e-07,3381076
str3464,5.413052171896364e-07,3611314
str3475,5.418628135127325e-07,3615034
str3493,3.0603512310325635e-06,20417112
str3562,4.103869126808914e-05,273789344
str3571,5.062786649790715e-06,33776346
str3591,3.788602906641911e-06,25275638
str3604,1.0531606548136862e-06,7026154
str3721,1.344841389906039e-07,897210
str3722,2.5836465457033035e-07,1723678
str3773,1.5820026948332168e-07,1055432
str3808,2.701773026968242e-07,1802486
str3846,1.5200645355241392e-07,1014110
str3909,1.5823054756323173e-07,1055634
str3937,1.6510636974953925e-07,1101506
str3962,2.0983123078167085e-06,13998876
str3965,1.4956427159214386e-06,9978170
str4030,1.4566244635383354e-07,971786
str40368,1.6891316378654772e-06,11269030
str4037,2.5716669184628505e-06,17156858
str4095,5.048728927006336e-07,3368256
str4146,1.5199113464267726e-06,10140078
str4255,4.706709535040152e-07,3140078
str4266,5.721420925546668e-07,3817042
str4295,1.3252385815365476e-06,8841320
str4306,4.6456467420017415e-07,3099340
str4314,5.022522499386758e-06,33507724
str4318,1.6308583253573943e-07,1088026
str4373,1.773222259698848e-07,1183004
str4375,1.7736539471747936e-07,1183292
str4378,3.3986425219912087e-07,2267402
str4406,1.6320964290210432e-07,1088852
str4409,1.7651161282060963e-07,1177596
str4425,1.8370580452042686e-07,1225592
str4455,3.424480816124355e-07,2284640
str4462,3.168313270936805e-07,2113738
str4464,3.168190359919348e-07,2113656
str4494,1.8208128060921303e-07,1214754
str4524,3.276217152944981e-07,2185726
str4572,1.2283817019510008e-07,819514
str4575,1.640850091727713e-07,1094692
str4589,1.6463930788320393e-07,1098390
str4624,5.695141950448494e-07,3799510
str4638,7.69452947575669e-07,5133400
str4669,5.106125374328905e-07,3406548
str4689,4.6595296913149565e-07,3108602
str4757,3.4349312504378654e-07,2291612
str4782,6.172852107857144e-07,4118214
str4786,1.631853604815824e-07,1088690
str4802,5.277576350842963e-06,35209314
str4803,6.340065052532702e-07,4229770
str4831,2.6591438887186373e-07,1774046
str4848,8.457381202346027e-07,5642336
str4856,8.322550814025759e-07,5552384
str4886,1.6322343291869703e-07,1088944
str4904,3.168505132037225e-07,2113866
str4907,6.167662864656717e-07,4114752
str4910,3.168445175443344e-07,2113826
str4930,4.852598917101826e-07,3237408
str4932,1.7240677455541723e-06,11502106
str4969,3.5574585456936913e-07,2373356
str4998,2.8936383243499748e-06,19304888
str5009,2.9056542253297265e-06,19385052
str5014,1.8840760061259845e-07,1256960
str5075,5.287188292191044e-07,3527344
str5087,1.69865703187029e-05,113325786
str5155,6.959812380846152e-07,4643234
str5168,2.1887004704884014e-06,14601900
str5226,1.5199386266769885e-07,1014026
str52352,4.932384955277489e-06,32906372
str5256,5.095528046360385e-07,3399478
str5274,5.018205025061365e-07,3347892
str5276,1.7687944652407142e-07,1180050
str5322,2.932863726764938e-07,1956658
str5385,1.6407871373041378e-07,1094650
str5404,3.1685800777795764e-07,2113916
str5407,9.124158482899969e-07,6087176
str5425,1.457555529484718e-05,97240716
str5442,3.2861369714026426e-07,2192344
str5453,1.7840144465974823e-07,1190204
str5498,1.8260200362707214e-07,1218228
str5514,1.757951315237281e-07,1172816
str5541,1.6954555596051075e-07,1131122
str5561,3.2797396028355075e-07,2188076
str5562,6.408793296098837e-07,4275622
str5656,2.5745151564551815e-06,17175860
str5668,9.457918854059004e-07,6309844
str5696,1.768692539031116e-07,1179982
str5726,4.863307164769027e-07,3244552
str5811,4.380713542788745e-07,2922590
str5817,5.271545616847413e-07,3516908
str5827,3.2861879345074414e-07,2192378
str5853,2.8942774616407498e-06,19309152
str5873,1.7951686514099717e-05,119764552
str5892,3.9484954509875325e-07,2634236
str5894,7.082611879038199e-06,47251596
str5908,2.179899741855535e-06,14543186
str59121,7.117806999212461e-07,4748640
str5950,1.748553119146387e-07,1166546
str5955,1.8959294247363176e-07,1264868
str5956,1.9011456484039908e-07,1268348
str5966,1.7487000128013964e-07,1166644
str5967,3.4043294049208496e-07,2271196
str6047,3.2861879345074414e-07,2192378
str6104,3.2860830104681494e-07,2192308
str6113,6.97546704750856e-07,4653678
str6123,1.2500020497045978e-06,8339380
str6138,1.764221276042418e-06,11769990
str6179,3.690742053891822e-07,2462276
str6185,1.8960613292428565e-07,1264956
str6204,6.865167899574826e-07,4580092
str62122,7.085355492774207e-07,4726990
str6215,1.0770956268740707e-06,7185836
str62242,1.3942543169703432e-06,9301758
str62273,1.541260210723275e-05,102825068
str62885,5.599514181037515e-07,3735712
str62936,2.952022856339708e-07,1969440
str6335,3.5528089118381964e-07,2370254
str6349,1.8321625893138605e-07,1222326
str6394,6.927582713805259e-07,4621732
str640,8.995428678007123e-07,6001294
str6403,1.8695416284202491e-06,12472634
str6410,1.6902932968719275e-07,1127678
str6435,1.832507339728678e-07,1222556
str645,4.948766295857737e-07,3301566
str646,1.8688428343185625e-06,12467972
str6463,3.38127609457349e-07,2255816
str6569,1.959666281861834e-07,1307390
str6578,1.7633204282193514e-07,1176398
str6586,9.209494702971225e-07,6144108
str660,9.523706226695261e-07,6353734
str664,1.98365101789514e-06,13233914
str6645,3.6855558085210897e-07,2458816
str6653,8.642862921177219e-07,5766080
str6656,1.8377685308417622e-07,1226066
str6658,6.928005407792122e-07,4622014
str6687,9.514811665992971e-07,6347800
str6757,1.8327141899775686e-07,1222694
str6767,3.2866795785772684e-07,2192706
str6788,3.4039936479951146e-07,2270972
str6823,3.381342046826759e-07,2255860
str6836,7.502047824589857e-07,5004986
str6863,9.456827644050365e-07,6309116
str6866,3.259330378278313e-07,2174460
str6867,1.8806686728957101e-06,12546868
str6873,7.241173686782625e-07,4830944
str6902,3.2866016350052224e-07,2192654
str7004,6.634448930660193e-07,4426168
str701,5.34627851329076e-07,3566766
str7066,1.7484302081289304e-07,1166464
str7072,5.548874841845368e-07,3701928
str709,4.818822369938796e-07,3214874
str7118,7.436044608215627e-07,4960952
str7203,1.2991154935824651e-06,8667040
str7267,3.4043294049208496e-07,2271196
str7269,1.8958874551206008e-07,1264840
str7275,1.9591026898793498e-07,1307014
str7295,1.9590487289448566e-07,1306978
str7325,2.39891368472969e-06,16004336
str735,1.5794620341674965e-06,10537370
str7368,3.522213061980569e-07,2349842
str7373,2.953701640968384e-06,19705600
str7410,1.8075863814819156e-07,1205930
str7423,3.78539103190769e-06,25254210
str7476,1.9010796961507212e-07,1268304
str74775,6.166074014918862e-07,4113692
str7478,1.884975355034204e-07,1257560
str748,1.1104923490148634e-06,7408642
str7496,1.8961062966882674e-07,1264986
str7562,3.521859318076669e-07,2349606
str7620,6.243909665095567e-08,416562
str7629,7.492466760887626e-07,4998594
str7654,3.7851916762330346e-07,2525288
str7663,3.4986141466288886e-07,2334098
str7789,2.0227735947515969e-07,1349492
str7808,3.7473320850266875e-07,2500030
str7917,9.715246559338157e-08,648152
str7928,1.796494411613875e-07,1198530
str7937,1.6362544188067114e-07,1091626
str794,1.0630325079962424e-06,7092014
str8009,2.0950611615134948e-06,13977186
str803,1.3102041658378422e-06,8741018
str8036,9.956362001631808e-08,664238
str8057,5.25372651714589e-08,350502
str8064,9.057912442320521e-07,6042980
str810,1.0569553076404338e-06,7051470
str811,5.34640442213791e-07,3566850
str8143,1.5059327663463168e-07,1004682
str817,1.6551512382832503e-06,11042330
str8191,1.0490725144598897e-07,699888
str824,5.496721598657719e-07,3667134
str8253,8.164229432222797e-08,544676
str8256,1.7679011119918828e-07,1179454
str8268,1.1266503512829044e-07,751644
str8274,1.8587773213377697e-07,1240082
str828,1.4981743830980765e-07,999506
str829,5.346608274557106e-07,3566986
str8293,6.350908202536135e-07,4237004
str8301,7.176669385255428e-07,4787910
str8328,5.038199349988902e-06,33612312
str833,1.377223046912421e-06,9188134
str8330,2.5641933290355464e-06,17106998
str8338,8.16434934541056e-08,544684
str8352,8.74757711239091e-08,583594
str8363,8.160392210214394e-08,544420
str837,8.132876930150387e-06,54258432
str841,3.7131232508217727e-06,24772076
str8423,2.0837974160039842e-07,1390204
str8425,6.360798042696856e-07,4243602
str8446,1.9202388257254908e-07,1281086
str8506,9.038006853151929e-08,602970
str8516,6.393813141117594e-07,4265628
str8517,1.6908209148980828e-07,1128030
str8532,1.821028649830103e-07,1214898
str8545,3.4040176306326674e-07,2270988
str8547,2.7616375874779346e-06,18424246
str8555,2.2197340034813628e-07,1480894
str8559,3.498668107563382e-07,2334134
str8596,8.795362517714307e-08,586782
str8608,2.881872142583739e-06,19226390
str865,2.2008257922519865e-06,14682794
str8655,1.9201428951752808e-07,1281022
str8659,1.9251582642534514e-07,1284368
str8662,1.0822225152168608e-07,722004
str8665,2.0839083357026647e-07,1390278
str8666,3.286124980083866e-07,2192336
str8676,2.1568185516920202e-07,1438920
str8695,2.050122795050552e-07,1367738
str871,5.610066541560623e-07,3742752
str8734,9.039535746295902e-08,603072
str8738,1.2314934491734403e-07,821590
str876,4.141251703354341e-06,27628332
str8773,1.0999516800275613e-07,733832
str8778,3.388323992184237e-07,2260518
str8781,9.036178177038549e-08,602848
str8782,2.3713582337477834e-07,1582050
str8797,1.1661017900568e-07,777964
str8799,5.251079433526031e-07,3503254
str8854,1.7587277531280438e-07,1173334
str8857,1.8532223429146674e-07,1236376
str8858,1.3308331313116118e-06,8878644
str8861,9.128238529113593e-07,6089898
str8868,1.9253801036508124e-07,1284516
str887,2.600890062103566e-06,17351820
str8870,6.914374276173209e-07,4612920
str8875,3.2866106284943044e-07,2192660
str8878,9.450969884828162e-07,6305208
str8888,1.7486610410153734e-07,1166618
str8916,1.947585028194752e-07,1299330
str8919,3.5217394048889064e-07,2349526
str899,2.1396637710507025e-06,14274752
str8999,3.2644716562036344e-07,2177890
str9015,1.100029623599607e-07,733884
str9016,1.1657360548341242e-07,777720
str9033,3.404062598078078e-07,2271018
str9038,1.1657420504935122e-07,777724
str9054,9.802702245003116e-07,6539866
str9085,1.8848494461870534e-07,1257476
str9089,2.6154415274385573e-07,1744890
str9094,1.2045369645644076e-07,803606
str9112,1.313409145563767e-07,876240
str913,2.395348066091569e-06,15980548
str9139,5.935175176222586e-07,3959648
str9157,8.884461014051613e-07,5927262
str9181,1.3511374318295142e-06,9014104
str9186,2.0889506852480822e-07,1393642
str9230,8.698047869534476e-06,58028966
str9241,8.132912004757809e-06,54258666
str9280,5.099755286011986e-06,34022982
str9335,1.2430440869846728e-07,829296
str939,5.61030037227676e-07,3742908
str944,5.762626094691591e-07,3844532
str9479,5.921840829743385e-07,3950752
str9481,6.191375697536772e-07,4130572
str9596,6.345107402078119e-07,4233134
str9681,1.8896579650163335e-07,1260684
str9734,3.2024159819705497e-06,21364896
str9740,9.771545800992699e-07,6519080
str9788,6.819450996740333e-07,4549592
str9888,1.419268507720591e-07,946864
str991,5.610297374447066e-07,3742906
str9921,1.0151130996855212e-07,677232
str99644,7.60104815240666e-07,5071034
str9971,2.1597534269625097e-07,1440878
str9972,5.588164397815784e-08,372814
str999,5.874040435271518e-07,3918862
str9993,1.8846156154709163e-07,1257320
out_cb,1.4849749389551083e-09,9907
out_vb,1.484225481531592e-09,9902
qmc,3.2644296865879176e-07,2177862
pir,3.7769669805758825e-06,25198009
trc,4.5844310596489335e-07,3058500
rsr,2.064609807047121e-06,13774030
prf,1.4115281114505152e-09,9417
bin,1.301324894066991e-06,8681780
cmd,5.575963230960939e-11,372
output,1.0030355483381113e-05,66917447
ref,1.2291101745666587e-10,820
param,9.203337160779615e-10,6140
align,1.2342064850465692e-09,8234
pyc,1.0113418299303874e-07,674716
A,1.5518715085781693e-08,103533
sample,7.1355841292982666e-09,47605
npz,2.1331956537027878e-07,1423160
res,3.2676343665308732e-09,21800
gro,7.011159207846098e-07,4677490
itp,4.854235732114786e-09,32385
mdp,3.4890091002891045e-08,232769
cpt,2.5427111812308457e-07,1696368
top,2.566142218119658e-10,1712
tpr,1.2771713802219092e-07,852064
trr,0.0,0
ndx,1.6673329192450834e-07,1112360
tgz,6.850769323554231e-06,45704860
castep,3.5885280526429813e-07,2394084
cell,1.0273412470076124e-08,68539
xye,8.99378886516447e-07,6000200
XY,6.1468998961956226e-09,41009
rpa,1.6095347627435098e-09,10738
gss,1.917758571328106e-06,12794313
mp4,5.6063343934829965e-06,37402621
dll,4.45218959705246e-06,29702752
conf,2.868038657460476e-08,191341
mod,3.9145075568310705e-07,2611561
avi,0.00011465268045446995,764904562
Ti,9.799830324156202e-08,653795
crowd,1.641911323439412e-09,10954
hc,1.641911323439412e-09,10954
hex,1.641911323439412e-09,10954
oc,1.641911323439412e-09,10954
oct,1.641911323439412e-09,10954
oh,1.641911323439412e-09,10954
isprp,4.215248332824826e-09,28122
issd,9.044152404024762e-09,60338
hdf5,0.0006820432340787431,4550246703
isvis,4.974898377300903e-10,3319
bmp,3.895878743329181e-06,25991328
JPG,2.3004802465080346e-06,15347638
MOV,1.0442254435407438e-05,69665428
ipj,5.5195061835513024e-05,368233472
htm,1.4339518775621216e-08,95666
rst,1.4827265666845595e-09,9892
csh,4.3783302681819635e-10,2921
alloy,2.794867000743501e-05,186459358
meam,8.097467764935969e-08,540222
Ti3O2,2.1824200172793354e-10,1456
aTiO,1.2276112597196262e-10,819
TiO2,9.77292480265197e-11,652
Ti2O3,1.4464528273863728e-10,965
_job,1.2279110426890327e-09,8192
alpha_TiO,1.001275117817717e-10,668
bct_int,1.0192620959821072e-10,680
oct_int,8.318977401030434e-11,555
hcp_elast_rx,8.408912291852384e-11,561
hcp_int,1.0162642662880421e-10,678
x,6.005552226120457e-09,40066
lobster,9.84072072118325e-07,6565230
total,1.5630084458916206e-08,104276
pxp,4.441554496429795e-08,296318
out0,1.001275117817717e-10,668
out1,1.1241861352743829e-11,75
out1_bak,1.1241861352743829e-11,75
out_tmp,0.0,0
e107148,0.0,0
o107148,1.2201166854844637e-10,814
e107149,0.0,0
o107149,1.1841427291556834e-10,790
e107150,0.0,0
o107150,1.2201166854844637e-10,814
e107151,0.0,0
o107151,1.1841427291556834e-10,790
e107152,0.0,0
o107152,1.1841427291556834e-10,790
e107153,0.0,0
o107153,1.1451709431328381e-10,764
e107262,0.0,0
o107262,1.2201166854844637e-10,814
e107263,0.0,0
o107263,1.2201166854844637e-10,814
e107264,0.0,0
e107684,0.0,0
e107981,0.0,0
e108180,0.0,0
o107264,1.2201166854844637e-10,814
o107684,1.1811448994616183e-10,788
o107981,1.2201166854844637e-10,814
o108180,1.2201166854844637e-10,814
e107265,0.0,0
o107265,1.1841427291556834e-10,790
e107266,0.0,0
o107266,1.2201166854844637e-10,814
e107658,0.0,0
o107658,1.1811448994616183e-10,788
e107659,0.0,0
o107659,1.1811448994616183e-10,788
e108244,0.0,0
o108244,1.1451709431328381e-10,764
e107660,0.0,0
o107660,1.2201166854844637e-10,814
e107267,0.0,0
o107267,1.1451709431328381e-10,764
e107268,0.0,0
o107268,1.1841427291556834e-10,790
e107269,0.0,0
o107269,1.1841427291556834e-10,790
e107270,0.0,0
o107270,1.2201166854844637e-10,814
e107661,0.0,0
o107661,1.1811448994616183e-10,788
e107271,0.0,0
o107271,1.2201166854844637e-10,814
e107272,0.0,0
o107272,1.2201166854844637e-10,814
e107273,0.0,0
o107273,1.1841427291556834e-10,790
e107274,0.0,0
e108185,0.0,0
o107274,1.1841427291556834e-10,790
o108185,1.2201166854844637e-10,814
e107275,0.0,0
o107275,1.1451709431328381e-10,764
e107154,0.0,0
o107154,1.2201166854844637e-10,814
e107155,0.0,0
o107155,1.2201166854844637e-10,814
e107156,0.0,0
o107156,1.2201166854844637e-10,814
e107157,0.0,0
o107157,1.1451709431328381e-10,764
e107158,0.0,0
o107158,1.2201166854844637e-10,814
e107159,0.0,0
o107159,1.1841427291556834e-10,790
e107276,0.0,0
o107276,1.1811448994616183e-10,788
e107277,0.0,0
o107277,1.2201166854844637e-10,814
e107278,0.0,0
e107685,0.0,0
e107982,0.0,0
e108181,0.0,0
o107278,1.2201166854844637e-10,814
o107685,1.1841427291556834e-10,790
o107982,1.2201166854844637e-10,814
o108181,1.1451709431328381e-10,764
e107279,0.0,0
o107279,1.1451709431328381e-10,764
e107280,0.0,0
o107280,1.2201166854844637e-10,814
e107662,0.0,0
o107662,1.2201166854844637e-10,814
e107663,0.0,0
o107663,1.2201166854844637e-10,814
e108245,0.0,0
o108245,1.2201166854844637e-10,814
e107664,0.0,0
o107664,1.2201166854844637e-10,814
e107281,0.0,0
o107281,1.1811448994616183e-10,788
e107282,0.0,0
o107282,1.2201166854844637e-10,814
e107283,0.0,0
o107283,1.2201166854844637e-10,814
e107284,0.0,0
o107284,1.2201166854844637e-10,814
e107665,0.0,0
o107665,1.2201166854844637e-10,814
e107285,0.0,0
o107285,1.1811448994616183e-10,788
e107286,0.0,0
o107286,1.1841427291556834e-10,790
e107287,0.0,0
o107287,1.2201166854844637e-10,814
e107288,0.0,0
o107288,1.2201166854844637e-10,814
e107289,0.0,0
o107289,1.2201166854844637e-10,814
e107160,0.0,0
o107160,1.2201166854844637e-10,814
e107161,0.0,0
o107161,1.2201166854844637e-10,814
e107162,0.0,0
o107162,1.2201166854844637e-10,814
e107163,0.0,0
o107163,1.1841427291556834e-10,790
e107164,0.0,0
o107164,1.2201166854844637e-10,814
e107165,0.0,0
o107165,1.1841427291556834e-10,790
e107290,0.0,0
o107290,1.1841427291556834e-10,790
e107291,0.0,0
o107291,1.2201166854844637e-10,814
e107292,0.0,0
o107292,1.2201166854844637e-10,814
e107293,0.0,0
e107686,0.0,0
e107983,0.0,0
e108060,0.0,0
o107293,1.1811448994616183e-10,788
o107686,1.2201166854844637e-10,814
o107983,1.2201166854844637e-10,814
o108060,1.1841427291556834e-10,790
e107294,0.0,0
o107294,1.2201166854844637e-10,814
e107666,0.0,0
o107666,1.2201166854844637e-10,814
e107667,0.0,0
o107667,1.2201166854844637e-10,814
e107668,0.0,0
o107668,1.1841427291556834e-10,790
e108176,0.0,0
o108176,1.1841427291556834e-10,790
e107295,0.0,0
o107295,1.1811448994616183e-10,788
e107296,0.0,0
o107296,1.2201166854844637e-10,814
e107297,0.0,0
o107297,1.2201166854844637e-10,814
e107298,0.0,0
o107298,1.1841427291556834e-10,790
e107669,0.0,0
o107669,1.1451709431328381e-10,764
e107299,0.0,0
o107299,1.1841427291556834e-10,790
e107300,0.0,0
o107300,1.2201166854844637e-10,814
e107301,0.0,0
o107301,1.2201166854844637e-10,814
e107302,0.0,0
o107302,1.1841427291556834e-10,790
e107303,0.0,0
o107303,1.1811448994616183e-10,788
e106990,0.0,0
o106990,1.1451709431328381e-10,764
e106991,0.0,0
o106991,1.1841427291556834e-10,790
e106992,0.0,0
o106992,1.1841427291556834e-10,790
e106993,0.0,0
o106993,1.1451709431328381e-10,764
e106994,0.0,0
o106994,1.2201166854844637e-10,814
e106995,0.0,0
o106995,1.1811448994616183e-10,788
e107009,0.0,0
o107009,1.1811448994616183e-10,788
e107010,0.0,0
o107010,1.2201166854844637e-10,814
e107011,0.0,0
o107011,1.1451709431328381e-10,764
e107012,0.0,0
e107045,0.0,0
o107012,1.1841427291556834e-10,790
o107045,2.116467764009905e-10,1412
e107013,0.0,0
o107013,1.2201166854844637e-10,814
e107039,0.0,0
o107039,1.2201166854844637e-10,814
e107040,0.0,0
o107040,1.1451709431328381e-10,764
e107041,0.0,0
o107041,1.1841427291556834e-10,790
e107051,0.0,0
o107051,1.2201166854844637e-10,814
e107014,0.0,0
o107014,1.1811448994616183e-10,788
e107015,0.0,0
o107015,1.1811448994616183e-10,788
e107016,0.0,0
o107016,1.1811448994616183e-10,788
e107017,0.0,0
o107017,1.2201166854844637e-10,814
e107042,0.0,0
o107042,1.1811448994616183e-10,788
e107018,3.297612663471523e-11,220
e107053,0.0,0
o107018,1.2201166854844637e-10,814
o107053,1.1451709431328381e-10,764
e107019,0.0,0
o107019,1.2201166854844637e-10,814
e107020,0.0,0
o107020,1.1811448994616183e-10,788
e107021,0.0,0
o107021,1.2201166854844637e-10,814
e107022,0.0,0
o107022,1.2201166854844637e-10,814
e107166,0.0,0
o107166,1.1841427291556834e-10,790
e107167,0.0,0
o107167,1.1841427291556834e-10,790
e107168,0.0,0
o107168,1.2201166854844637e-10,814
e107169,0.0,0
o107169,1.1451709431328381e-10,764
e107170,0.0,0
o107170,1.2201166854844637e-10,814
e107171,0.0,0
o107171,1.1841427291556834e-10,790
e107304,0.0,0
o107304,1.2201166854844637e-10,814
e107305,0.0,0
o107305,1.2201166854844637e-10,814
e107306,0.0,0
o107306,1.1841427291556834e-10,790
e107307,0.0,0
e107687,0.0,0
e107839,0.0,0
o107307,1.1811448994616183e-10,788
o107687,1.1451709431328381e-10,764
o107839,1.2201166854844637e-10,814
e107308,0.0,0
o107308,1.2201166854844637e-10,814
e107670,0.0,0
o107670,1.1451709431328381e-10,764
e107671,0.0,0
o107671,1.2201166854844637e-10,814
e107672,0.0,0
o107672,1.2201166854844637e-10,814
e107976,0.0,0
o107976,1.1841427291556834e-10,790
e107309,0.0,0
o107309,1.1841427291556834e-10,790
e107310,0.0,0
o107310,1.2201166854844637e-10,814
e107311,0.0,0
o107311,1.2201166854844637e-10,814
e107312,0.0,0
o107312,1.1841427291556834e-10,790
e107673,0.0,0
o107673,1.2201166854844637e-10,814
e107313,0.0,0
o107313,1.1841427291556834e-10,790
e107314,0.0,0
o107314,1.2201166854844637e-10,814
e107315,0.0,0
o107315,1.2201166854844637e-10,814
e107316,0.0,0
